YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,268.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,268.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,268.00,536.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,271.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,271.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,271.00,542.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,278.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,278.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,278.00,556.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,285.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,285.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,285.00,570.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,299.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,299.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,299.00,598.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,316.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,316.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,316.00,632.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,320.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,320.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,320.00,640.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,326.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,326.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,326.00,652.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,338.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,338.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,338.00,676.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,363.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,363.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,363.00,726.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,376.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,376.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,376.00,752.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,383.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,383.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,383.00,766.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,402.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,402.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,402.00,804.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,432.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,432.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,432.00,864.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,455.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,455.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,455.00,910.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,472.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,472.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,472.00,944.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,534.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,534.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,534.00,1068.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,541.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,541.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,541.00,1082.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,2 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,612.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,612.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,100,612.00,1224.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1290.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,1290.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1290.00,2580.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1308.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,1308.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1308.00,2616.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1346.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,1346.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1346.00,2692.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1370.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,1370.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1370.00,2740.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1370.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,1370.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1370.00,2740.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1418.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,1418.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1418.00,2836.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1442.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,1442.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1442.00,2884.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1448.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,1448.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1448.00,2896.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1456.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,1456.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1456.00,2912.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1486.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,1486.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1486.00,2972.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1520.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,1520.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1520.00,3040.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1536.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,1536.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1536.00,3072.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1542.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,1542.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1542.00,3084.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1556.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,0-150 IB,RATE_PREMIUM_ACFT_CARRIER,1556.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1556.00,3112.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1570.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,1570.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1570.00,3140.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1598.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,151-200 IB,RATE_PREMIUM_ACFT_CARRIER,1598.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1598.00,3196.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1632.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,1632.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1632.00,3264.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1640.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,1640.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1640.00,3280.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1652.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,12,12,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,1652.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1652.00,3304.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1676.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,1676.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1676.00,3352.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1726.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,201-275 IB,RATE_PREMIUM_ACFT_CARRIER,1726.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1726.00,3452.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1752.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,48,48,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,1752.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1752.00,3504.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1766.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,24,24,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,1766.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1766.00,3532.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1804.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,326-385 IB,RATE_PREMIUM_ACFT_CARRIER,1804.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1804.00,3608.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1864.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,60,60,276-325 IB,RATE_PREMIUM_ACFT_CARRIER,1864.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1864.00,3728.00
YAMAHA PROTECTION PLAN,APMI,APIB15KN,ADVENTURE PROT INBOARD 15000 NEW,3 ENGINES TOTAL,N,Y,0,999999,0,99,APMI 2022-12-01,APMI NATL,1910.00,2022-12-01,9999-12-31,2022-12-01,9999-12-31,NULL,NULL,NULL,NULL,0,999999,36,36,386-450 IB,RATE_PREMIUM_ACFT_CARRIER,1910.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,100,1910.00,3820.00
